park_code,park_name,fee_type,cost_usd,description
lewi,Lewis and Clark National Historical Park,Entrance - Per Person,10.00,Entrance fees are collected at the Fort Clatsop Visitor Center.
libi,Little Bighorn Battlefield National Monument,Entrance - Private Vehicle,25.00,Private non-commercial vehicle.
libi,Little Bighorn Battlefield National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
libi,Little Bighorn Battlefield National Monument,Entrance - Per Person,15.00,Per person fee
libi,Little Bighorn Battlefield National Monument,Commercial Entrance - Sedan,25.00,"Commercial Rate for a vehicle holds up to 6 people, $25 plus per person."
libi,Little Bighorn Battlefield National Monument,Commercial Entrance - Van,40.00,Van holds up to 15 people
libi,Little Bighorn Battlefield National Monument,Commercial Entrance - Mini-bus,40.00,Commercial vehicle that holds up to 25 passengers
libi,Little Bighorn Battlefield National Monument,Commercial Entrance - Motor Coach,100.00,"Commercial Bus $100.00 (26 or more seats, regardless of occupancy)"
liri,Little River Canyon National Preserve,Entrance - Private Vehicle,15.00,"Admits all persons traveling in a single, private, non-commercial vehicle (car/truck/van/motorcycle) into Canyon Mouth Park for one day. The pass is non-transferable. Insert cash only (no bills larger"
liri,Little River Canyon National Preserve,Entrance - Motorcycle,15.00,"Valid for 1 day. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. The pass is non-transferable. Insert cash only (no bills larger than a $20) into the fee machine to g"
meve,Mesa Verde National Park,Entrance - Private Vehicle,30.00,Valid for 7 days.
meve,Mesa Verde National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
meve,Mesa Verde National Park,Entrance - Per Person,15.00,Valid for 7 days.
meve,Mesa Verde National Park,Entrance - Private Vehicle,20.00,"Purchase digital park entrance passes on recreation.gov at no additional cost. Once purchased, passes for Mesa Verde National Park must be printed or saved on your mobile device prior to use. Connecti"
meve,Mesa Verde National Park,Entrance - Per Person,15.00,"Purchase digital park entrance passes on recreation.gov at no additional cost. Once purchased, passes for Mesa Verde National Park must be printed or saved on your mobile device prior to use. Connecti"
meve,Mesa Verde National Park,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
moca,Montezuma Castle National Monument,Entrance - Per Person,10.00,"This entrance fee covers one adult, aged 16 and over, for entrance to Montezuma Castle and Tuzigoot National Monuments for 7 days."
mora,Mount Rainier National Park,Entrance - Private Vehicle,30.00,"Grants unlimited entry for one vehicle and passengers for seven consecutive days. Vehicle must be private, noncommercial, and with a seating capacity of 15 or less."
mora,Mount Rainier National Park,Entrance - Per Person,15.00,Walk-up or single bicycle fee. Grants unlimited entry for seven consecutive days.
mora,Mount Rainier National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
mora,Mount Rainier National Park,Commercial Entrance - Mini-bus,100.00,"These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle."
mora,Mount Rainier National Park,Commercial Entrance - Motor Coach,200.00,"These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. NOTE: There are no current road restrictions for unmodif"
muwo,Muir Woods National Monument,Entrance - Per Person,15.00,$15 per person 16 years of age and older. Entrance fees may be purchased in advance with your parking/shuttle reservation or upon arrival to the park. Parking/shuttle reservations are required for all
nabr,Natural Bridges National Monument,Entrance - Private Vehicle,20.00,"Entry fee admits one private, non-commercial vehicle driver and passengers. Entry fee is valid for 7 days."
nabr,Natural Bridges National Monument,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
nabr,Natural Bridges National Monument,Entrance - Per Person,10.00,"Admits one individual with no car. This pass is typically used for bicyclists, and pedestrians. Youth 15 and under are admitted free. Entry fee is valid for 7 days."
olym,Olympic National Park,Entrance - Private Vehicle,30.00,"Valid for seven consecutive days. Applies to private, non-commercial vehicles (15 passenger capacity or less). The pass covers all vehicle occupants."
olym,Olympic National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
olym,Olympic National Park,Entrance - Per Person,15.00,"Valid for seven consecutive days. This fee admits one person without a vehicle, including hikers, bicyclists, and pedestrians. Individuals fifteen years or younger are admitted free of charge."
olym,Olympic National Park,Commercial Entrance - Van,75.00,"A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the p"
olym,Olympic National Park,Commercial Entrance - Mini-bus,100.00,"A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the p"
olym,Olympic National Park,Commercial Entrance - Motor Coach,200.00,"A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the p"
orpi,Organ Pipe Cactus National Monument,Entrance - Private Vehicle,25.00,Valid for 7 days. This fee includes all occupants of a non-commercial vehicle.
orpi,Organ Pipe Cactus National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
orpi,Organ Pipe Cactus National Monument,Entrance - Per Person,15.00,Valid for 7 days. This fee applies to bicycles and walk-ins (per person)
pais,Padre Island National Seashore,Commercial Entrance - Sedan,25.00,Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. The entry fees of commercial tours are based upon the total capacity of vehicles that c
pais,Padre Island National Seashore,Commercial Entrance - Van,40.00,Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. The entry fees of commercial tours are based upon the total capacity of vehicles that c
pais,Padre Island National Seashore,Commercial Entrance - Mini-bus,40.00,Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. The entry fees of commercial tours are based upon the total capacity of vehicles that c
pais,Padre Island National Seashore,Commercial Entrance - Motor Coach,100.00,Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. The entry fees of commercial tours are based upon the total capacity of vehicles that c
pais,Padre Island National Seashore,Entrance - Private Vehicle,25.00,"Admits the passholder and up to 15 passengers in the same private (non-commercial) vehicle. It expires one week from the date of purchase. For private vehicles, this entrance pass is required for over"
pais,Padre Island National Seashore,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. For motorcyclists, this entrance pass is required for overnight camping.

A 1-day entrance pass is a"
pais,Padre Island National Seashore,Entrance - Per Person,15.00,"Admits one individual bicyclist, hiker, or pedestrian visiting the facility without a private vehicle. An individual pass is not required for visitors aged 15 and under. It expires one week from the d"
pais,Padre Island National Seashore,Entrance - Non-commercial Groups,15.00,Non-commercial groups traveling in a vehicle with a capacity of 16 persons or more are charged per person. This entrance pass is valid for one week from the date of purchase. Fees will not exceed the 
pefo,Petrified Forest National Park,Entrance - Private Vehicle,25.00,"Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Valid for 7 days."
pefo,Petrified Forest National Park,Entrance - Per Person,15.00,"Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Valid for 7 days."
pefo,Petrified Forest National Park,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
pefo,Petrified Forest National Park,Commercial Entrance - Sedan,25.00,"$25 flat fee + $10 per person (Sedans, SUVs, Minivans)

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on "
pefo,Petrified Forest National Park,Commercial Entrance - Per Person,10.00,"$25 flat fee + $10 per person (Sedans, SUVs, Minivans)

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on "
pefo,Petrified Forest National Park,Commercial Entrance - Van,50.00,"Capacity of 7 to 15 passengers - $50 (Vans).

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capaci"
pefo,Petrified Forest National Park,Commercial Entrance - Mini-bus,60.00,"Capacity of 16-25 passengers - $60

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the "
pefo,Petrified Forest National Park,Commercial Entrance - Motor Coach,150.00,"Capacity of 26+ passengers - $150 (Large tour buses, motorcoaches).

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles "
pefo,Petrified Forest National Park,Entrance - Non-commercial Groups,15.00,"Capacity of 16 or more $15/person.  Anyone that is 15 or younger is exempt from paying an entrance fee, in addition to anyone with a valid pass. A pass may cover immediate family members or up to 4 pe"
pinn,Pinnacles National Park,Entrance - Private Vehicle,30.00,"This pass is valid for 1-7 days and includes everyone traveling in a single, private (non-commercial) vehicle up to 15 passengers to Pinnacles East Entrance and West Entrance."
pinn,Pinnacles National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles, scooters, or similar motorized vehicles with up to 4 total passengers to Pinnacles East Entrance and West Entrance."
pinn,Pinnacles National Park,Entrance - Per Person,15.00,This entry fee is for a single person traveling on foot or by bicycle.  It is valid for 1-7 days to Pinnacles East Entrance and West Entrance.
pinn,Pinnacles National Park,Entrance - Non-commercial Groups,15.00,Non-commercial groups traveling in vehicles that have a capacity of 16 passengers or more pay $15 per person up to the maximums listed for commercial groups with comparable passenger capacity ($40 or 
pinn,Pinnacles National Park,Commercial Entrance - Sedan,30.00,"The charge for vehicles with a seating capacity of 1-6 passengers is $30. This entrance fee is for commercial tours of one or more people traveling on an itinerary that has been packaged, priced, or s"
pinn,Pinnacles National Park,Commercial Entrance - Van,40.00,"This entrance fee is for commercial tours of vehicles with a seating capacity of 7-15 people that has been packaged, priced, or sold for leisure or recreational puposes by an organization that realize"
pinn,Pinnacles National Park,Commercial Entrance - Mini-bus,40.00,"This entrance fee is for commercial trous of vehicles with a seating capacity of 16-25 people that has been packaged, priced, or sold for leisure or recreational purposes by an organization that reali"
pinn,Pinnacles National Park,Commercial Entrance - Motor Coach,100.00,"This entrance fee is for commercial tours of vehicles with a seating capacity of 26 or more people that has been packaged, priced, or sold for leisure or recreational purposes by an organization that "
pinn,Pinnacles National Park,Entrance - Education/Academic Groups,0.00,"School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups."
piro,Pictured Rocks National Lakeshore,Entrance - Private Vehicle,25.00,This pass admits the driver and all passengers in a private-use vehicle for seven consecutive days to all areas of Pictured Rocks National Lakeshore. This fee does not cover additional fees associated
piro,Pictured Rocks National Lakeshore,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers to all areas of Pictured Rocks National Lakeshore. This fee does not cover additional fees associated"
piro,Pictured Rocks National Lakeshore,Entrance - Snowmobile,15.00,This pass admits a snowmobile to all parts of Pictured Rocks National Lakeshore for 7 consecutive days. This fee does not cover additional fees associated with activities such as camping or commercial
piro,Pictured Rocks National Lakeshore,Entrance - Per Person,15.00,"This pass admits one walk-in, bicycle-in, or boat-in person to all parts of Pictured Rocks National Lakeshore. This fee does not cover additional fees associated with activities such as camping or com"
piro,Pictured Rocks National Lakeshore,Commercial Entrance - Sedan,25.00,"This admits a commercial sedan to all areas of Pictured Rocks National Lakeshore. The flat rate for this pass is $25, plus an additional $5 per person age 16+. This fee does not cover additional fees "
piro,Pictured Rocks National Lakeshore,Commercial Entrance - Van,40.00,"This pass admits a commercial van with a capacity of 7-16 persons, regardless of capacity, to all parts of Pictured Rocks National Lakeshore. This fee does not cover additional fees associated with ac"
piro,Pictured Rocks National Lakeshore,Commercial Entrance - Mini-bus,40.00,This fee admits a commercial mini-bus to all parts of Pictured Rocks National Lakeshore. A mini-bus is defined as a vehicle with a 16-25 person capacity. The fee is charged regardless of occupancy of 
piro,Pictured Rocks National Lakeshore,Commercial Entrance - Motor Coach,100.00,"This fee applies to commercial vehicles with a 26+ person vehicle capacity, regardless of occupancy. This fee does not cover additional fees associated with activities such as camping or commercial to"
pisp,Pipe Spring National Monument,Entrance - Per Person,10.00,There is a $10 fee per person 16 years of age and older.  Children under 15 enter for free.  This fee includes a $3/person Tribal use fee to the Kaibab Band of Paiute Indians.  All Interagency Passes 
prwi,Prince William Forest Park,Entrance - Private Vehicle,20.00,Valid seven (7) consecutive days.
prwi,Prince William Forest Park,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
prwi,Prince William Forest Park,Entrance - Per Person,10.00,Valid seven (7) consecutive days.
puho,Puʻuhonua o Hōnaunau National Historical Park,Entrance - Private Vehicle,20.00,"Admits one single, private, non-commercial vehicle and all of its passengers (up to 8 persons). Organized non-profit groups (service organizations, scouts, church groups, college/school clubs) are not"
puho,Puʻuhonua o Hōnaunau National Historical Park,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
puho,Puʻuhonua o Hōnaunau National Historical Park,Entrance - Per Person,10.00,Admits one individual when entering by foot or bicycle. Good for entry into Puʻuhonua o Hōnaunau National Historical Park for seven days from the date of purchase. Individuals 15 years old and younger
puho,Puʻuhonua o Hōnaunau National Historical Park,Entrance - Education/Academic Groups,0.00,"Academic institutions may be eligible for a fee waiver by simply filling out sections 1, 2, and 5 of our educational fee waiver application. If an educational fee waiver is not obtained, the standard "
puho,Puʻuhonua o Hōnaunau National Historical Park,Entrance - Non-commercial Groups,10.00,Non-commercial groups entering the park in a bus or vehicle with a capacity of 16 persons or more will be charged $10.00 for each person on board.
puho,Puʻuhonua o Hōnaunau National Historical Park,Commercial Entrance - Per Person,10.00,All commercial tours that enter the park on a regular basis must have a Commercial Use Authorization (CUA) and are required to pay the commercial tour fee at the entrance station at each visit. For mo
rigr,Rio Grande Wild & Scenic River,Entrance - Private Vehicle,30.00,"Entrance Fee to Big Bend National Park.
This fee includes all occupants of a private, non-commercial vehicle and is valid for 7 days"
romo,Rocky Mountain National Park,Entrance - Private Vehicle,30.00,1-Day Vehicle Entrance Pass. This pass is valid for one private vehicle to enter RMNP for one day only. All passengers inside the vehicle are covered. Park entrance passes may be purchased in person a
romo,Rocky Mountain National Park,Entrance - Private Vehicle,35.00,7-Day Vehicle Entrance Pass. This vehicle entrance pass is valid for one vehicle to enter RMNP for 7 consecutive days. All passengers inside the vehicle are covered. Park entrance passes may be purcha
romo,Rocky Mountain National Park,Entrance - Per Person,15.00,"1-Day Per Person Entrance Pass. This park entrance fee is for individuals, walk-ins, bicycles, and non-commercial groups to enter RMNP for 1-day only. Park entrance passes may be purchased in person a"
romo,Rocky Mountain National Park,Entrance - Motorcycle,25.00,"Valid for 1 day. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Park entrance passes may be purchased in person at the any of the park's entrance stations or in adva"
romo,Rocky Mountain National Park,Entrance - Motorcycle,30.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Park entrance passes may be purchased in person at the any of the park's entrance stations or in adv"
romo,Rocky Mountain National Park,Entrance - Per Person,20.00,"7-Day Per Person Entrance Pass. This park entrance fee is for individuals, walk-ins, bicycles, and non-commercial groups to enter RMNP for 7 consecutive days. Park entrance passes may be purchased in "
romo,Rocky Mountain National Park,Nonresident,100.00,"Each non-US resident aged 16 and older visiting Rocky Mountain National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the B"
saga,Saint-Gaudens National Historical Park,Entrance - Per Person,10.00,Entrance fee to park grounds for people aged 16 and over. Kids aged 15 and younger are free. Valid for seven days. Fees collected 9am-4pm.
sagu,Saguaro National Park,Entrance - Private Vehicle,25.00,"The vehicle entrance pass is sold in the form of a dated register receipt and admits one privately owned, non-commercial vehicle into Saguaro National Park. This includes passenger cars, trucks, vans,"
sagu,Saguaro National Park,Entrance - Per Person,15.00,"Individuals entering the park by means other than a motor vehicle may purchase individual entrance passes. This includes hikers, horseback riders and bicyclists. The individual entrance fee is charged"
sagu,Saguaro National Park,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
saju,San Juan National Historic Site,Entrance - Per Person,10.00,"Valid for 24 hours, valid for both fortifications"
seki,Sequoia & Kings Canyon National Parks,Entrance - Private Vehicle,35.00,This pass is valid for 1-7 days and includes everyone traveling in a single vehicle for Sequoia & Kings Canyon National Parks and Hume Lake District of Sequoia National Forest/Giant Sequoia National M
seki,Sequoia & Kings Canyon National Parks,Entrance - Per Person,20.00,This entry fee is for a single person traveling on foot or by bicycle. It is valid for 1-7 days in Sequoia & Kings Canyon National Parks and Hume Lake District of Sequoia National Forest/Giant Sequoia
seki,Sequoia & Kings Canyon National Parks,Entrance - Motorcycle,30.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles, scooters, or similar motorized vehicles with up to 4 total passengers to Sequoia & Kings Canyon National Parks and Hume Lake Distr"
seki,Sequoia & Kings Canyon National Parks,Entrance - Non-commercial Groups,20.00,Non-commercial groups traveling in vehicles that have a capacity of up to 15 passengers pay a $35 vehicle entrance fee or use a park pass. Groups traveling in a bus or vehicle with a capacity of 16 pe
seki,Sequoia & Kings Canyon National Parks,Commercial Entrance - Mini-bus,100.00,"This entrance fee is for commercial tours of vehicles with a seating capacity of 16-25 people that has been packaged, priced, or sold for leisure or recreational purposes by an organization that reali"
seki,Sequoia & Kings Canyon National Parks,Commercial Entrance - Motor Coach,200.00,"This entrance fee is for commercial tours of vehicles with a seating capacity of 26 or more people that has been packaged, priced, or sold for leisure or recreational purposes by an organization that "
seki,Sequoia & Kings Canyon National Parks,Commercial Entrance - Per Person,20.00,The fee is $20 per person for any resident 16 years or older. For any nonresident the fee is $100 per person for anyone 16 years or older. This fee is valid for seven consecutive days.
seki,Sequoia & Kings Canyon National Parks,Nonresident,100.00,"Each non-US resident aged 16 and older visiting Sequoia & Kings Canyon National Parks must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or Amer"
shen,Shenandoah National Park,Entrance - Private Vehicle,30.00,"Unlimited entry for one vehicle and all passengers for seven consecutive days, beginning on the day of purchase. Admits the pass holder and occupants of a single, private non-commercial vehicle."
shen,Shenandoah National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
shen,Shenandoah National Park,Entrance - Per Person,15.00,"Entry for walk-up or bicycling visitors, when 16 years of age or older (children under 16 are admitted for free). Includes entering the Park by all means other than a private, non-commercial vehicle. "
shen,Shenandoah National Park,Commercial Entrance - Sedan,25.00,The total cost is calculated: $25 + $10 per passenger.
shen,Shenandoah National Park,Commercial Entrance - Per Person,10.00,This fee is for commercial use between 1-6 passengers (sedan). The total cost is calculated: $25 for the vehicle + $10 per passenger.
shen,Shenandoah National Park,Commercial Entrance - Van,75.00,"Based upon the total capacity of a vehicle that can carry 7-15 passengers, regardless of the actual number of passengers."
shen,Shenandoah National Park,Commercial Entrance - Mini-bus,100.00,"Based upon the total capacity of a vehicle that can carry 16-25 passengers, regardless of the actual number of passengers."
shen,Shenandoah National Park,Commercial Entrance - Motor Coach,200.00,"Based upon the total capacity of a vehicle that can carry 26 or more passengers, regardless of the actual number of passengers."
shen,Shenandoah National Park,Entrance - Education/Academic Groups,0.00,"National Park Service regulations allow school groups and other approved national and international academic institutions to obtain a waiver of Park entrance fees, provided that visit is for education"
shen,Shenandoah National Park,Entrance - Non-commercial Groups,15.00,Fee is calculated per person for anyone 16 years of age or older (children under 16 are admitted for free). Groups will not be charged more than the equivalent commercial group fee.
slbe,Sleeping Bear Dunes National Lakeshore,Commercial Entrance - Sedan,25.00,"Sedan
1-6 Person Capacity
$25.00 + $10.00 Per Person 16 years or older (up to a maximum of $40.00)"
slbe,Sleeping Bear Dunes National Lakeshore,Commercial Entrance - Van,40.00,"Van
7-15 Person Capacity
$40.00"
slbe,Sleeping Bear Dunes National Lakeshore,Commercial Entrance - Mini-bus,40.00,"Mini Bus
16-25 Person Capacity
$40.00"
slbe,Sleeping Bear Dunes National Lakeshore,Commercial Entrance - Motor Coach,100.00,"Motorcoach
26+ Person Capacity
$100.00"
slbe,Sleeping Bear Dunes National Lakeshore,Entrance - Private Vehicle,25.00,Entrance pass - vehicle 1-7 day.
slbe,Sleeping Bear Dunes National Lakeshore,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
slbe,Sleeping Bear Dunes National Lakeshore,Entrance - Per Person,15.00,"If you enter the park on a bicycle or on foot and are at least 16 years old, you need your own entrance pass. Children under the age of 16 don't need an entrance pass."
sucr,Sunset Crater Volcano National Monument,Entrance - Private Vehicle,25.00,"This pass covers the pass holder and up to 15 passengers of a single, private (non-commercial) vehicle at both Sunset Crater Volcano and Wupatki National Monuments for 1-7 days."
sucr,Sunset Crater Volcano National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers to both Sunset Crater and Wupatki National Monument."
sucr,Sunset Crater Volcano National Monument,Entrance - Per Person,15.00,"Admits one individual bicyclist, hiker, or pedestrian visiting the facility without a private vehicle. Good for both Sunset Crater and Wupatki National Monuments for 1-7 days. A pass is not required f"
sucr,Sunset Crater Volcano National Monument,Entrance - Non-commercial Groups,15.00,The per person fee is charged for non-commercial groups up to the point that it exceeds the cost of the commercial rate for the same size vehicle.
sucr,Sunset Crater Volcano National Monument,Entrance - Education/Academic Groups,0.00,Bona fide educational institutions visiting for non-recreational purposes whose visit pertains directly to established curriculum are exempt from paying entry fees. Apply for an educational fee waiver
sucr,Sunset Crater Volcano National Monument,Commercial Entrance - Sedan,28.00,"Covers occupants of a vehicle with an occupancy of 1-6 individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of "
sucr,Sunset Crater Volcano National Monument,Commercial Entrance - Van,40.00,"Covers occupants of a vehicle with an occupancy of 7-15 individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of"
sucr,Sunset Crater Volcano National Monument,Commercial Entrance - Motor Coach,100.00,"Covers occupants of a vehicle with an occupancy of 16+ individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of "
thro,Theodore Roosevelt National Park,Entrance - Private Vehicle,30.00,"Valid for 7 days for all persons traveling in a single, private, non-commercial vehicle."
thro,Theodore Roosevelt National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
thro,Theodore Roosevelt National Park,Entrance - Per Person,15.00,"Valid for 7 days for a visitor traveling on foot, bicycle, horse, or other non-motorized means of travel."
thro,Theodore Roosevelt National Park,Commercial Entrance - Van,50.00,"Based upon the total capacity of a vehicle that can carry 7-15 passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on"
thro,Theodore Roosevelt National Park,Commercial Entrance - Mini-bus,60.00,"Based upon the total capacity of a vehicle that can carry 16-25 passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling o"
thro,Theodore Roosevelt National Park,Commercial Entrance - Motor Coach,150.00,"Based upon the total capacity of a vehicle that can carry 26 or more passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons travel"
tont,Tonto National Monument,Entrance - Per Person,10.00,Tonto National Monument charges a fee to all visitors hiking to the Lower or Upper Cliff Dwelling. Tour reservations are required to visit the Upper Cliff Dwelling. The Lower Cliff Dwelling is open Se
tont,Tonto National Monument,Entrance - Education/Academic Groups,0.00,Education groups may be granted an educational fee waiver. All requests and documentation must be submitted at least 2 weeks in advance of the school's planned visit.
tuma,Tumacácori National Historical Park,Entrance - Per Person,10.00,The park entrance fee is $10.00 per adult (age 16 or older) and is good for 7 days. The entrance pass is valid for seven days.
tuma,Tumacácori National Historical Park,Entrance - Education/Academic Groups,0.00,Accredited school groups coming for educational purposes are exempt from the normal entrance fees.
tuzi,Tuzigoot National Monument,Entrance - Per Person,10.00,"Tuzigoot Entrance Fee - Per Adult - $10.00

This entrance fee covers one adult, aged 16 and over, for entrance to Montezuma Castle and Tuzigoot National Monuments for 7 days."
vall,Valles Caldera National Preserve,Entrance - Private Vehicle,25.00,The entrance fee for a private vehicle covers seven consecutive days of entrance to Valles Caldera National Preserve.
vall,Valles Caldera National Preserve,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
vall,Valles Caldera National Preserve,Entrance - Per Person,15.00,The per-person entrance fee covers seven consecutive days of entrance to Valles Caldera National Preserve.
vama,Vanderbilt Mansion National Historic Site,Entrance - Per Person,15.00,Entrance to the Vanderbilt Mansion is by guided tour only.
vick,Vicksburg National Military Park,Entrance - Private Vehicle,20.00,"This pass admits the driver and all passengers in a private, non-commercial vehicle to the park."
vick,Vicksburg National Military Park,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. The park requires all visitors to pay an entrance fee except children under 16 years of age."
vick,Vicksburg National Military Park,Entrance - Per Person,10.00,"Good for 7 days 

You are purchasing a digital site pass that is valid only for weekly entrance fees at Vicksburg National Military Park. The park requires all visitors to pay an entrance fee except c"
vick,Vicksburg National Military Park,Entrance - Non-commercial Groups,0.00,"$10 per person, not to exceed commercial group rate."
vick,Vicksburg National Military Park,Commercial Entrance - Sedan,25.00,$25.00 plus $10 per passenger (not to exceed $40).
vick,Vicksburg National Military Park,Commercial Entrance - Van,40.00,As provided by non-NPS charter tour companies.
vick,Vicksburg National Military Park,Commercial Entrance - Mini-bus,40.00,As provided by non-NPS charter tour companies.
vick,Vicksburg National Military Park,Commercial Entrance - Motor Coach,100.00,As provided by non-NPS charter tour companies.
waca,Walnut Canyon National Monument,Entrance - Private Vehicle,25.00,"This pass covers the pass holder and up to 15 passengers of a single, private (non-commercial) vehicle at Walnut Canyon National Monuments for 1-7 days."
waca,Walnut Canyon National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
waca,Walnut Canyon National Monument,Entrance - Per Person,15.00,"Admits one individual bicyclist, hiker, or pedestrian visiting the facility without a private vehicle. Good for Walnut Canyon National Monument for 1-7 days. A pass is not required for individuals 15 "
waca,Walnut Canyon National Monument,Entrance - Non-commercial Groups,15.00,Non-commercial groups pay the per person fee up until the cost exceeds that of the commercial rate for the same size vehicle.
waca,Walnut Canyon National Monument,Entrance - Education/Academic Groups,0.00,Bona fide educational institutions visiting for non-recreational purposes whose visit pertains directly to established curriculum are exempt from paying entry fees. Apply for an educational fee waiver
waca,Walnut Canyon National Monument,Commercial Entrance - Sedan,28.00,"Covers occupants of a vehicle with an occupancy of 1-6 individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of "
waca,Walnut Canyon National Monument,Commercial Entrance - Van,40.00,"Covers occupants of a vehicle with an occupancy of 7-15 individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of"
waca,Walnut Canyon National Monument,Commercial Entrance - Motor Coach,100.00,"Covers occupants of a vehicle with an occupancy of 16+ individuals at Sunset Crater, Wupatki, and Walnut Canyon for 1 day. A commercial group is defined as a group that is entering for the purpose of "
whis,Whiskeytown National Recreation Area,Entrance - Per Person,15.00,"Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Good for 7 days. For more information visit https://www.recreation.gov/sitep"
